starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 23:50:00-07",1.21,68.17,29,3.43,66.94,51,1.93,67.7,33
"2017-08-20 23:55:00-07",3,65.93,40,4.91,64.82,55,3.09,62.84,31
"2017-08-21 00:00:00-07",2.14,65.3,43,4.21,69.58,65,2.64,59.32,31
"2017-08-21 00:05:00-07",1.1,69.42,19,2.2,67.86,28,3.2,62.09,23
"2017-08-21 00:10:00-07",2.57,69.6,45,3.64,70.35,63,2.36,64.89,27
"2017-08-21 00:15:00-07",1.18,68.95,21,3.73,68.6,47,3.27,62,23
"2017-08-21 00:20:00-07",1.79,68.39,38,4.14,68.62,65,1.93,67.93,28
"2017-08-21 00:25:00-07",1.82,70.14,28,3.91,70.94,51,2.91,66.17,35
"2017-08-21 00:30:00-07",3.07,69.17,58,3.86,69.26,68,2.5,65.39,28
"2017-08-21 00:35:00-07",1.64,68.86,28,2.91,68.55,42,1.45,63.5,18
"2017-08-21 00:40:00-07",0.75,70.83,12,2.13,69,24,1.13,62.7,10
"2017-08-21 00:45:00-07",2.36,69.62,37,2.82,67.51,35,3.73,64.12,25
"2017-08-21 00:50:00-07",0.64,68.17,23,2.57,68.24,46,2,64.39,28
"2017-08-21 00:55:00-07",0.91,66.16,19,3.36,64.51,41,1.55,65.32,22
"2017-08-21 01:00:00-07",2.14,67.7,43,4,66.96,57,3.71,59.94,31
"2017-08-21 01:05:00-07",2.18,69.44,32,4.91,68.55,58,2.91,62.84,31
"2017-08-21 01:10:00-07",2.43,68.11,47,4.07,67.05,59,1.86,66.28,25
"2017-08-21 01:15:00-07",1.82,68.24,29,3.45,66.81,42,2.27,64.7,20
"2017-08-21 01:20:00-07",1.07,71.26,27,2.36,68.74,46,3.36,66.15,34
"2017-08-21 01:25:00-07",0.91,66.5,12,2.36,66.52,29,1,67.55,20
"2017-08-21 01:30:00-07",1.22,67.12,17,1.67,67.44,18,3.11,67.21,29
"2017-08-21 01:35:00-07",1.45,68.52,27,3.36,69.05,38,1.45,68.18,22
"2017-08-21 01:40:00-07",1.36,70.07,29,3.07,68.24,49,2.07,64.15,27
"2017-08-21 01:45:00-07",1,69,16,2,67.76,34,2.82,65.08,26
"2017-08-21 01:50:00-07",0.5,69.35,17,2.14,68.27,33,2.57,61,19
"2017-08-21 01:55:00-07",0.09,65.89,9,4,67.68,40,1.82,62.84,19
"2017-08-21 02:00:00-07",0.43,71.25,16,1.79,68.55,33,2.14,63.52,25
"2017-08-21 02:05:00-07",2,66.31,29,1.91,69.23,26,2.73,64.64,25
"2017-08-21 02:10:00-07",2,66.98,40,2.5,64.05,41,1.29,66.82,28
"2017-08-21 02:15:00-07",0.36,65.5,12,4.45,68.18,44,2.18,66.5,26
"2017-08-21 02:20:00-07",1,64.14,28,3.29,67.78,49,2,63.92,26
"2017-08-21 02:25:00-07",1,67.5,18,3.27,66.92,37,3.64,62.09,34
"2017-08-21 02:30:00-07",2.07,67.39,38,4,66.73,63,4.07,62.77,31
"2017-08-21 02:35:00-07",1.09,63.75,24,3.73,68.33,46,3.09,64.62,26
"2017-08-21 02:40:00-07",0.93,68.89,27,2.07,66.45,44,2.29,63.91,23
"2017-08-21 02:45:00-07",2.73,68.55,38,4.45,68.49,41,2.55,65.03,30
"2017-08-21 02:50:00-07",1.57,67.3,30,4.07,66.79,66,2.5,64,28
"2017-08-21 02:55:00-07",1.64,66.79,28,4.55,66.84,51,4.18,64.13,24
"2017-08-21 03:00:00-07",0.93,68.62,26,2.93,67.16,51,1.71,63.38,34
"2017-08-21 03:05:00-07",3.18,65.4,40,5.36,66.74,62,3.73,63.97,31
"2017-08-21 03:10:00-07",2.29,67.59,46,3.93,69.38,61,2.93,63,31
"2017-08-21 03:15:00-07",1.09,68.7,23,3.45,68,40,3.09,62.48,23
"2017-08-21 03:20:00-07",2.86,65.91,53,4.14,66.62,61,2.57,63.03,32
"2017-08-21 03:25:00-07",3.82,68.53,51,5.55,67.03,67,2.82,64.08,26
"2017-08-21 03:30:00-07",3.5,64.98,59,6.64,64.93,84,3.29,62.44,43
"2017-08-21 03:35:00-07",6.55,64.36,77,6.36,66.7,79,5.18,61.61,36
"2017-08-21 03:40:00-07",4.43,67.16,74,4.86,67.21,72,3.29,64.6,40
"2017-08-21 03:45:00-07",3,65.12,43,5.73,64.37,62,4.36,59.43,35
"2017-08-21 03:50:00-07",3.86,67.82,68,5.71,66.56,81,3.36,60.67,45
"2017-08-21 03:55:00-07",7.09,63.3,84,7.64,64.22,87,4.45,60.95,42
"2017-08-21 04:00:00-07",5.14,64.65,79,6.43,65.73,96,5.5,64.08,63
"2017-08-21 04:05:00-07",6.09,65.12,73,5.91,64.2,61,6.27,63.12,52
"2017-08-21 04:10:00-07",5.86,63.68,92,7.36,64.67,105,5.21,62.9,61
"2017-08-21 04:15:00-07",10.36,61.19,118,9,61.89,92,9,60.55,65
"2017-08-21 04:20:00-07",7.93,65.77,117,7.5,65.55,104,5.93,62.57,63
"2017-08-21 04:25:00-07",10.27,61.56,116,8,61.93,87,6.45,61.4,63
"2017-08-21 04:30:00-07",10.13,63.63,86,9,64.69,70,8.38,61.09,46
"2017-08-21 04:35:00-07",11,60.2,121,9.91,60.56,95,8.18,58.49,63
"2017-08-21 04:40:00-07",11.29,59.26,157,11.21,59.16,133,8.43,59.86,108
"2017-08-21 04:45:00-07",12.64,57.9,135,11.36,58.69,100,6.91,59.91,66
"2017-08-21 04:50:00-07",12.5,57.58,167,11,58.19,136,8.5,57.45,94
"2017-08-21 04:55:00-07",9.73,58.69,102,10.91,58.12,99,7.09,58.78,74
"2017-08-21 05:00:00-07",10.86,55.23,136,10.5,55.52,124,10.29,54.81,112
"2017-08-21 05:05:00-07",11.73,56.58,125,10.18,56.85,101,10.82,55.96,93
"2017-08-21 05:10:00-07",12.64,54.87,156,11.29,54.68,134,12.5,53.22,95
"2017-08-21 05:15:00-07",12.27,54.24,123,13.82,53.01,117,12.18,51.24,103
"2017-08-21 05:20:00-07",10.79,52.6,137,9.21,52.55,110,11.43,51.45,112
"2017-08-21 05:25:00-07",12.18,50.79,107,10.27,53,91,10.36,51.47,86
"2017-08-21 05:30:00-07",12.71,51.4,149,11.93,51.33,126,12.43,50.65,130
"2017-08-21 05:35:00-07",11.5,50.36,58,9.83,49.84,45,10,48.88,42
"2017-08-21 05:40:00-07",13.71,47.33,147,13.21,47.48,122,12.29,46.25,113
"2017-08-21 05:45:00-07",18.09,34.7,108,16.73,36.91,94,22.36,32.88,81
"2017-08-21 05:50:00-07",18.17,33.24,119,18.08,33.91,107,17.75,33.48,96
"2017-08-21 05:55:00-07",22.09,28.97,111,19.18,31.95,101,18.36,31.92,96
"2017-08-21 06:00:00-07",16.64,34.79,133,17,33.88,115,19.71,33.29,115
"2017-08-21 06:05:00-07",12.45,46.6,106,12.82,46.76,98,10.36,46.56,81
"2017-08-21 06:10:00-07",17,33.61,130,16.29,36.92,119,18.07,34.5,115
"2017-08-21 06:15:00-07",12.91,47.37,108,12.18,49.47,96,12.55,46.35,88
"2017-08-21 06:20:00-07",8.5,62.28,124,7.5,61.98,97,6.57,57.34,88
"2017-08-21 06:25:00-07",11,56.05,114,7.82,58.71,78,9.73,56.9,81
"2017-08-21 06:30:00-07",15.14,37.74,130,15.79,37.02,107,19.43,36.54,126
"2017-08-21 06:35:00-07",23.73,20.36,88,22.36,21.97,78,33.82,16.16,81
"2017-08-21 06:40:00-07",17.5,28.47,116,22.14,27.55,119,33.43,17.6,111
"2017-08-21 06:45:00-07",22.91,24.46,103,26.91,22.43,89,33.27,20.23,73
"2017-08-21 06:50:00-07",21.79,24.11,123,25,23.38,104,36.71,17.77,132
"2017-08-21 06:55:00-07",16.18,29.91,86,16.55,30.89,88,31.82,25.25,110
"2017-08-21 07:00:00-07",12.71,38.42,118,15.71,36.82,112,20.07,31.17,131
"2017-08-21 07:05:00-07",14.64,37.14,99,16.09,36.65,92,22.27,29.62,100
"2017-08-21 07:10:00-07",15.57,38.58,138,17.07,36.69,113,26.43,25.69,124
"2017-08-21 07:15:00-07",12.18,41.55,91,16,38.67,90,22.27,30.09,86
"2017-08-21 07:20:00-07",15.79,34.54,124,18.36,33.79,121,29.43,24.02,123
"2017-08-21 07:25:00-07",21.64,24.43,91,22.36,26.91,90,35.27,19.68,94
"2017-08-21 07:30:00-07",15.71,30.69,110,23.21,28.38,122,27.57,22.85,123
"2017-08-21 07:35:00-07",17.27,34.53,103,18.27,32.83,88,29.64,24.04,109
"2017-08-21 07:40:00-07",16.07,32.37,122,18.86,29.96,113,33.29,19.05,114
"2017-08-21 07:45:00-07",16,33.17,96,19.64,31.3,87,30.55,23,104
"2017-08-21 07:50:00-07",19.86,32.04,149,15.86,35.17,112,23.57,31,141
"2017-08-21 07:55:00-07",15.55,38.58,108,14.91,34.46,78,24.09,30.33,102
"2017-08-21 08:00:00-07",11.21,50.76,132,12.5,50.54,119,13,47.31,124
"2017-08-21 08:05:00-07",14.64,39.89,113,20.55,34.43,96,31.45,21.19,94
"2017-08-21 08:10:00-07",17,33.77,134,20.21,30.14,118,29.64,23.45,127
"2017-08-21 08:15:00-07",16.91,33.63,106,20.09,33.18,94,29.09,23.82,110
"2017-08-21 08:20:00-07",15.64,33.31,123,16.07,30.75,100,30.21,20.23,126
"2017-08-21 08:25:00-07",16.82,29.65,92,19.73,29.66,100,34.27,18.4,90
"2017-08-21 08:30:00-07",14.88,34.78,69,14.75,35.8,60,34.25,23.38,73
"2017-08-21 08:35:00-07",18.82,31.83,106,20.82,30.22,92,31.18,21.65,95
"2017-08-21 08:40:00-07",16.79,33.13,128,22,31.28,115,31.71,22.26,136
"2017-08-21 08:45:00-07",17.73,33.38,110,24.09,29.96,93,32.27,20.77,104
"2017-08-21 08:50:00-07",15.93,36.39,135,16.79,35.58,117,30.29,22.84,134
"2017-08-21 08:55:00-07",17.73,32.89,104,22.18,30.56,90,32.27,19.38,86
"2017-08-21 09:00:00-07",15.86,33.21,125,18.71,32.82,124,31.29,21.83,123
"2017-08-21 09:05:00-07",16.27,35.03,105,21.18,31.13,84,33.73,22.33,93
"2017-08-21 09:10:00-07",14.63,36.32,73,18.5,36.24,58,34.38,20.92,73
"2017-08-21 09:15:00-07",15.55,36.33,108,18.18,33.45,96,36.82,21.13,89
"2017-08-21 09:20:00-07",4.14,70.12,69,6,67.45,76,3.79,65.18,57
"2017-08-21 09:25:00-07",3.55,72.17,48,6.36,71.31,75,6.45,64.23,48
"2017-08-21 09:30:00-07",2.21,73.71,49,3.79,71.07,61,4.43,66.77,47
"2017-08-21 09:35:00-07",3.4,70.3,23,6.2,67.68,31,6.6,63.26,23
"2017-08-21 09:40:00-07",2.79,71.74,62,4.64,69.02,65,4.5,66.64,44
"2017-08-21 09:45:00-07",2.09,70.41,34,3.55,70.26,38,3.27,65.12,25
"2017-08-21 09:50:00-07",1,73.37,27,4.36,71.67,61,2,68.45,31
"2017-08-21 09:55:00-07",1,70.8,25,5.82,73.6,50,2.91,65.1,29
"2017-08-21 10:00:00-07",1.5,70.85,33,4.79,70.82,56,4.07,64.03,39
"2017-08-21 10:05:00-07",0.91,69.65,20,3,69,31,2.36,66.67,24
"2017-08-21 10:10:00-07",0.43,63,15,3.5,65.13,31,3.79,56.68,28
"2017-08-21 10:15:00-07",0,68.2,5,1.45,72.4,15,2.82,61,15
"2017-08-21 10:20:00-07",0.14,71.71,7,1.79,67.83,24,3.07,52.12,25
"2017-08-21 10:25:00-07",0,68.88,8,0.45,73,11,2.45,55,16
"2017-08-21 10:30:00-07",0.14,75.33,6,1.43,68.7,20,3.64,59.9,39
"2017-08-21 10:35:00-07",0,70,4,0.91,72.94,16,2.91,63.37,19
"2017-08-21 10:40:00-07",0.71,70.55,22,1.64,68.62,21,4.43,63.48,29
"2017-08-21 10:45:00-07",0.18,70.67,9,2.73,69.07,27,2.82,64.82,28
"2017-08-21 10:50:00-07",0.14,70.94,16,3,67.97,39,3.64,64.89,28
"2017-08-21 10:55:00-07",0,68,3,2.45,69.1,29,3,66.73,22
"2017-08-21 11:00:00-07",0.25,66.4,10,3.38,69.84,19,6.38,63.96,23
"2017-08-21 11:05:00-07",1.27,69.55,20,4.09,67.41,27,4.27,62.36,25
"2017-08-21 11:10:00-07",0.71,67.3,20,2.21,70.19,31,3.71,63.89,37
"2017-08-21 11:15:00-07",0.33,71.5,8,2.33,67.57,14,3.5,64.5,8
"2017-08-21 11:20:00-07",0.38,69.45,11,4.38,67.48,27,2.63,63.33,12
"2017-08-21 11:25:00-07",0.45,65.71,14,2.64,68.96,28,3.27,64.65,23
"2017-08-21 11:30:00-07",1.64,66.68,31,4,66.71,34,2,59.13,24
"2017-08-21 11:35:00-07",0.64,66.75,16,3.27,68.86,29,5.45,63.07,30
"2017-08-21 11:40:00-07",1.83,67.7,30,5.5,65,37,3.67,62.67,27
"2017-08-21 11:45:00-07",0.64,70.56,18,3.73,66.55,31,2.36,63.79,19
"2017-08-21 11:50:00-07",0,68.4,5,2.75,67.48,21,5.88,61.63,16
"2017-08-21 11:55:00-07",0.91,68.26,19,4,69.19,47,6.55,61.67,30
"2017-08-21 12:00:00-07",0.79,68.06,18,2.21,65,35,2.64,66.97,33
"2017-08-21 12:05:00-07",1.36,71.85,27,4.18,69.36,44,4.91,63.82,28
"2017-08-21 12:10:00-07",0.93,70.24,21,3.29,66.81,42,4,64.2,40
"2017-08-21 12:15:00-07",0.91,67.37,19,3.36,71.06,31,5.09,64.29,28
"2017-08-21 12:20:00-07",1.14,67.11,27,4.43,69.18,51,3.86,69.97,29
"2017-08-21 12:25:00-07",0.36,65.63,8,1.73,64.26,23,5.55,61.34,35
"2017-08-21 12:30:00-07",2.36,62.55,38,6.93,58.06,51,1.79,53.77,31
"2017-08-21 12:35:00-07",3.91,59.52,44,8.18,58.11,47,0.82,51.64,11
"2017-08-21 12:40:00-07",3.57,62.16,58,11,61.94,65,3.14,55.5,28
"2017-08-21 12:45:00-07",0.45,66.09,11,2,67.72,25,3.64,60.95,21
"2017-08-21 12:50:00-07",1.14,68.46,24,4.71,63.28,40,4.79,63.49,41
"2017-08-21 12:55:00-07",1,68.13,16,5.18,65.9,39,2.82,61.06,17
"2017-08-21 13:00:00-07",0.5,67.71,17,1.93,67.3,30,4.29,62.97,37
"2017-08-21 13:05:00-07",0.18,67.3,10,4.91,67.69,32,5.64,57.6,47
"2017-08-21 13:10:00-07",0.64,69.14,21,2.29,66.14,36,4.57,63.29,42
"2017-08-21 13:15:00-07",1.82,69.48,31,4.27,68.97,39,5.27,62.42,33
"2017-08-21 13:20:00-07",0.93,71.22,23,3.29,71.23,44,3.36,64.65,26
"2017-08-21 13:25:00-07",1,72.04,26,2.55,71.82,34,7.18,62,31
"2017-08-21 13:30:00-07",1.36,71.4,30,4.21,68,44,5.07,62.32,28
"2017-08-21 13:35:00-07",1.64,70.17,24,2.73,67.94,32,4.45,63.89,38
"2017-08-21 13:40:00-07",0.88,69.23,13,2.13,70.08,24,1.5,64.27,15
"2017-08-21 13:45:00-07",0.82,68.78,18,3.36,67.91,34,4,64.31,29
"2017-08-21 13:50:00-07",1.36,70.35,34,5.43,68.96,54,4.14,63.06,32
"2017-08-21 13:55:00-07",2.18,73.16,37,4.09,66.93,28,5.55,59.96,27
"2017-08-21 14:00:00-07",1.29,71.97,33,3.21,69.56,41,3.71,63.73,44
"2017-08-21 14:05:00-07",2.09,68.69,29,3.82,66.63,35,5.82,60.07,30
"2017-08-21 14:10:00-07",1.21,68.19,27,3.79,68.21,43,6.29,62.77,44
"2017-08-21 14:15:00-07",2.18,65.9,31,3.91,68.76,42,1.82,65.17,23
"2017-08-21 14:20:00-07",3.43,67.48,56,7.21,63.87,55,6.43,62.11,44
"2017-08-21 14:25:00-07",0.73,68.53,15,2.27,68.37,35,5.36,62.18,34
"2017-08-21 14:30:00-07",0.86,70.45,20,4.64,69.02,51,6.86,61.44,55
"2017-08-21 14:35:00-07",1.64,69.8,25,3.36,70.29,34,6.45,62.59,44
"2017-08-21 14:40:00-07",3.5,66.55,29,7.13,67.05,37,8.5,59.39,36
"2017-08-21 14:45:00-07",2.91,67.44,39,7.64,66.88,51,8,60.1,51
"2017-08-21 14:50:00-07",2,64.85,39,5.86,64.92,65,3.14,65.34,38
"2017-08-21 14:55:00-07",0.73,64.88,16,2.82,66.12,34,1.91,66.69,26
"2017-08-21 15:00:00-07",2.21,68.33,45,6.07,64.63,60,1.93,65.41,29
"2017-08-21 15:05:00-07",2.18,63,31,6.82,63.07,43,6.64,59.51,45
"2017-08-21 15:10:00-07",3.5,61.75,56,7.86,61.62,55,2.07,60.7,40
"2017-08-21 15:15:00-07",1,62.67,21,6.73,58.68,38,3.73,55.57,37
"2017-08-21 15:20:00-07",1.64,63.74,31,4.71,62.63,46,6.21,57.62,53
"2017-08-21 15:25:00-07",1.73,69.31,29,4.36,68.18,44,6.91,61.86,43
"2017-08-21 15:30:00-07",2.29,67.52,46,6.64,66.14,72,8,60.12,69
"2017-08-21 15:35:00-07",0.91,71.23,22,4,67.22,41,5.82,59.88,51
"2017-08-21 15:40:00-07",3.5,67.23,39,5,66.83,36,7.38,59.16,37
"2017-08-21 15:45:00-07",2.91,69.69,45,5.55,68.77,44,6.18,61.43,46
"2017-08-21 15:50:00-07",1.64,70.05,40,4.79,69.88,67,4.21,66.67,46
"2017-08-21 15:55:00-07",2.45,70.62,39,5,68.95,42,8.82,63.27,52
"2017-08-21 16:00:00-07",1.64,69.91,33,5,68.89,53,5.43,62.62,55
"2017-08-21 16:05:00-07",2.55,69.57,37,6,68.21,48,4.55,65.04,48
"2017-08-21 16:10:00-07",3.36,69.61,59,5.36,69.58,64,6.64,62.71,62
"2017-08-21 16:15:00-07",3.55,70.02,52,6.09,70.18,56,7.45,62.56,55
"2017-08-21 16:20:00-07",3.43,68.87,69,6.36,65.37,63,7.64,63.63,64
"2017-08-21 16:25:00-07",2.82,70.3,43,3.73,69.69,35,7,59.71,42
"2017-08-21 16:30:00-07",1.93,68.89,38,4.14,69.92,52,5.64,61.38,60
"2017-08-21 16:35:00-07",2.36,70.2,41,7.09,67.38,42,6,64.61,41
"2017-08-21 16:40:00-07",2.07,70.22,37,5.5,71.5,72,4.43,65.75,67
"2017-08-21 16:45:00-07",1.64,73.31,29,4.45,69.15,52,5.82,61.59,51
"2017-08-21 16:50:00-07",2.21,67.76,42,4.07,68.84,45,6.5,63.15,66
"2017-08-21 16:55:00-07",0.64,73.71,17,3.82,67.92,37,4.45,64.56,34
"2017-08-21 17:00:00-07",1.36,63.97,33,5.43,66.65,55,6.93,61.97,63
"2017-08-21 17:05:00-07",1.82,68.17,29,4.82,67,42,5.27,65.11,45
"2017-08-21 17:10:00-07",2.07,69.22,46,3.86,70.71,58,6.64,67.14,70
"2017-08-21 17:15:00-07",1.55,72,24,2.27,72.44,36,3.45,65.84,37
"2017-08-21 17:20:00-07",2.57,70.09,47,5.14,67.82,56,6.14,62.06,69
"2017-08-21 17:25:00-07",1.73,69.93,28,4.27,71.05,42,5.18,65.69,45
"2017-08-21 17:30:00-07",2,72.2,41,4.36,69.91,56,4.71,64.9,63
"2017-08-21 17:35:00-07",2.18,68.35,34,5.82,67.67,49,6.18,60.7,43
"2017-08-21 17:40:00-07",1.43,69.67,30,3.86,70.91,46,4.43,63.88,52
"2017-08-21 17:45:00-07",2.45,70,42,2.09,69.67,33,4.73,65.85,40
"2017-08-21 17:50:00-07",1.43,68.86,28,2.71,67.68,38,3.71,64.32,38
"2017-08-21 17:55:00-07",0.91,67.81,21,2.82,66.09,35,3.45,66.56,41
"2017-08-21 18:00:00-07",1.5,67.84,32,2.86,68.95,38,5.71,63.39,46
"2017-08-21 18:05:00-07",1.18,70.39,18,4,69.71,35,4.45,68.29,35
"2017-08-21 18:10:00-07",1.07,70.68,25,2.93,70.97,36,1.86,66,36
"2017-08-21 18:15:00-07",1.73,70.81,31,3.91,68.97,30,4.73,65.76,38
"2017-08-21 18:20:00-07",1.57,70.24,37,3.64,68.22,49,4.71,62.82,44
"2017-08-21 18:25:00-07",1.55,69.1,31,2.27,69.35,23,7.91,64.6,60
"2017-08-21 18:30:00-07",1.43,71.61,33,4.21,68.42,48,3.21,64.69,32
"2017-08-21 18:35:00-07",0.73,70.88,16,3.36,69,43,3.64,62.86,43
"2017-08-21 18:40:00-07",1.36,68.2,30,2.57,68.68,34,3.86,61.49,45
"2017-08-21 18:45:00-07",0.82,70.95,19,1.82,71.06,31,2.18,64.77,22
"2017-08-21 18:50:00-07",1.64,68.83,36,3.64,71.2,51,2.43,67.31,32
"2017-08-21 18:55:00-07",0.73,70.88,16,2,74.32,25,3.36,59.52,21
"2017-08-21 19:00:00-07",1.79,70.37,35,3.57,69.85,46,4.07,65.29,42
"2017-08-21 19:05:00-07",0.55,69.77,13,1.82,69,27,2.27,64.42,31
"2017-08-21 19:10:00-07",0.36,68.73,11,2.79,69.16,31,5.07,57.56,45
"2017-08-21 19:15:00-07",1.36,68.33,24,5.91,67.15,40,6.27,61.79,33
"2017-08-21 19:20:00-07",1.29,69.85,34,4.29,71.2,46,5,61.83,47
"2017-08-21 19:25:00-07",0.55,70,12,1.82,70.13,31,0.91,51.22,23
"2017-08-21 19:30:00-07",0.86,70.88,24,1.71,71.88,26,4.5,65.39,41
"2017-08-21 19:35:00-07",0.36,70.73,11,3.36,69.47,30,4.36,62.83,24
"2017-08-21 19:40:00-07",1.5,69.29,24,3.71,71.78,51,4.93,63.81,37
"2017-08-21 19:45:00-07",1.5,70.5,12,3.5,72.56,25,4,62.5,14
"2017-08-21 19:50:00-07",0.79,70.85,20,2.14,69.68,31,2.5,63.5,34
"2017-08-21 19:55:00-07",0.55,72.2,15,1.91,70.5,28,4.73,63.03,29
"2017-08-21 20:00:00-07",1,70.04,24,3.14,67.31,32,3.36,59.64,25
"2017-08-21 20:05:00-07",1.45,69,26,2.36,67.63,32,2.91,61.92,26
"2017-08-21 20:10:00-07",1.14,70.18,28,4.93,69.62,50,4.64,60.78,32
"2017-08-21 20:15:00-07",1,74.39,23,1.09,70.5,20,5.18,60.32,31
"2017-08-21 20:20:00-07",0.57,55.95,19,2.71,68.78,40,2.64,64.4,30
"2017-08-21 20:25:00-07",0.55,71,15,1.82,69.93,30,4.09,63.35,31
"2017-08-21 20:30:00-07",1.21,66.54,26,2.43,68.33,39,3.21,60.62,39
"2017-08-21 20:35:00-07",0.09,71.17,12,2.27,68.66,29,3.09,61.67,24
"2017-08-21 20:40:00-07",0.57,68.67,21,1.5,68.89,27,2.07,64,32
"2017-08-21 20:45:00-07",1,67.05,20,1.55,64.65,23,2.36,63.38,24
"2017-08-21 20:50:00-07",1.5,69.03,32,2.93,64.89,27,6.07,60.52,50
"2017-08-21 20:55:00-07",0.36,68.55,11,2.27,66.76,25,3.64,61.1,29
"2017-08-21 21:00:00-07",1.21,63.74,27,3.14,66.46,39,2.71,61.41,29
"2017-08-21 21:05:00-07",0.45,69.58,12,2.73,68.32,28,2.45,61.21,14
"2017-08-21 21:10:00-07",1.21,61.69,29,2.29,67.28,25,3.57,62.25,40
"2017-08-21 21:15:00-07",0.82,69.21,19,2,67.05,20,4.64,60.28,29
"2017-08-21 21:20:00-07",0.14,68.83,12,2.43,67.37,30,3.07,61.45,31
"2017-08-21 21:25:00-07",0.73,68.08,13,2.82,66.73,30,3.09,53.62,21
"2017-08-21 21:30:00-07",0.93,71.15,27,4.07,67.5,46,4,62.92,36
"2017-08-21 21:35:00-07",0.91,68.1,20,2.36,67.14,28,3.55,61.48,33
"2017-08-21 21:40:00-07",0.75,67.93,14,1.88,69.48,21,3.63,63.75,12
"2017-08-21 21:45:00-07",0.91,69.22,18,2.82,69,32,4.09,64.61,23
"2017-08-21 21:50:00-07",0.71,69.8,20,2.64,69.5,44,5.43,64.33,24
"2017-08-21 21:55:00-07",0.73,68.85,13,1.09,66.95,20,3.64,62.79,14
"2017-08-21 22:00:00-07",0.71,67.29,21,2.21,66.93,27,3.71,60.82,28
"2017-08-21 22:05:00-07",0.73,69.47,19,1.73,70.91,22,3.73,59.68,19
"2017-08-21 22:10:00-07",0.43,69.18,11,0.71,69.14,21,3.21,60.69,26
"2017-08-21 22:15:00-07",1,65.71,21,2.27,62.76,21,4.91,59.85,26
"2017-08-21 22:20:00-07",0.43,68.28,18,1,71.05,20,3.29,64.74,27
"2017-08-21 22:25:00-07",0.82,70.5,16,2.18,64.08,24,4.73,59.56,27
"2017-08-21 22:30:00-07",0.5,68.41,17,1.5,66.67,18,4.29,61.62,29
"2017-08-21 22:35:00-07",0.91,69.81,21,2.64,66.93,28,3.73,63,21
"2017-08-21 22:40:00-07",0.43,71.16,19,2.21,72.59,39,2.64,57.71,17
"2017-08-21 22:45:00-07",0.45,70.36,11,1.18,69.24,17,1.91,60.79,14
"2017-08-21 22:50:00-07",0.64,67.96,23,3,69.3,37,3.29,46.88,26
"2017-08-21 22:55:00-07",0.64,69.45,11,0.27,70.42,12,3.18,62.94,16
"2017-08-21 23:00:00-07",0.07,69.71,7,1.14,68.95,22,3.79,64,20
"2017-08-21 23:05:00-07",0,70.17,6,1.45,66.85,20,4.36,60.81,16
"2017-08-21 23:10:00-07",0.21,73,9,0.93,68.05,20,4.36,63.88,33
"2017-08-21 23:15:00-07",0,71.75,4,1.64,65.29,24,1.18,70,14
"2017-08-21 23:20:00-07",0.29,71.73,11,2.07,69.96,27,1.71,57.41,22
"2017-08-21 23:25:00-07",0.36,69.8,10,3,67.04,26,4.09,65.54,26
"2017-08-21 23:30:00-07",0.36,59.56,16,1.71,66,25,2,61,14
"2017-08-21 23:35:00-07",0.09,70,6,1.64,67.2,15,1.18,61.78,9
"2017-08-21 23:40:00-07",0.07,51.5,8,0.5,62.59,17,1.43,63.08,13
